page,raw_chars,cleaned_chars,raw_lines,cleaned_lines,raw_blank_lines,cleaned_blank_lines,raw_dot_sequences,cleaned_dot_sequences,raw_table_lines,cleaned_table_lines,raw_heading_lines,cleaned_heading_lines
1,46,42,8,5,5,2,0,0,0,0,1,1
2,362,334,50,23,38,11,0,0,0,0,1,1
3,811,757,93,46,61,20,0,0,0,0,0,0
4,680,610,102,48,69,23,0,0,0,0,0,0
5,723,668,100,58,67,28,0,0,0,0,0,0
6,838,783,95,52,64,25,0,0,0,0,0,0
7,1689,1626,157,93,109,45,0,0,1,1,0,0
8,1783,1693,152,92,103,43,0,0,1,1,0,0
9,1871,1773,162,99,108,45,0,0,1,1,0,0
10,1368,1292,150,73,112,35,0,0,1,1,0,0
11,230,201,40,11,34,5,0,0,0,0,0,0
12,19,16,3,1,2,0,0,0,0,0,0,0
13,2167,1674,230,31,142,7,0,0,18,16,0,0
14,2440,2391,37,19,19,3,0,0,17,15,0,0
15,2723,2593,106,57,59,14,0,0,36,32,0,0
16,125,119,15,10,8,3,0,0,0,0,1,1
